nome,documento,dataNascimento,email,telefone_1,telefone_2,endereco,cep,municipio,uf,numeroEndereco,bairro,profissao,atividadeEconomica,vinculoEmpregaticio,tipoRenda,nome_gerente,email_gerente,telefone_gerente_1,telefone_gerente_2,telefone_gerente_3,id_pa,nome_pa
Dr. Cauê Jesus,623.057.189-77,10/10/1971,thomas04@barros.br,33918103891,33918073799,"Quadra de Pereira, 8, Solimoes, 74191-682 da Mota / PA",78367228,Farias,RS,555,Vila Jardim Montanhes,Windsurfer,ASSALARIADO,CLT,COMÉRCIO,Raul Cardoso,nlima@da.com,34943883445,34980969225,31928512482,3,SAÚDE
Lucca Fernandes,618.345.907-01,10/07/1962,uribeiro@gmail.com,33974766974,31974531690,"Área Azevedo, 32, Vila Calafate, 60900-953 Cardoso de Castro / BA",94973590,Alves Grande,MA,838,São Lucas,Fundidor de placa de gesso,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Yasmin Campos,hramos@duarte.br,37957811180,38903389497,31917435584,3,SAÚDE
Ana Vitória Aragão,890.627.451-30,20/03/1962,gustavoda-costa@carvalho.net,35983185547,31999470317,"Residencial de da Rosa, 44, Boa Esperança, 93007614 Araújo de Costa / RN",37605543,Melo,PE,698,São Francisco Das Chagas,Tecnólogo em rochas ornamentais,ASSALARIADO,AUTÔNOMO,COMÉRCIO,Bernardo da Mota,joaquimteixeira@da.com,31994626405,32944038775,31974855831,4,VENDA NOVA
Emanuella Araújo,371.209.568-68,06/02/1989,souzalivia@ribeiro.br,37914543311,33959338105,"Viaduto Julia Nascimento, 5, São Bento, 53928641 Carvalho de da Rocha / RN",83719-308,Moura de da Paz,AP,962,União,Promotor público/de justiça,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Maria Eduarda Lopes,joao-lucas83@da.com,33941151261,32969484656,33971971914,4,VENDA NOVA
Kamilly Ferreira,394.256.018-60,30/09/1980,ribeiroana-luiza@uol.com.br,33909001714,33992373449,"Estrada Dias, 23, Vila Califórnia, 67391491 Porto da Serra / RO",30894-417,da Costa,SP,86,Atila De Paiva,Jogador de boliche,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Sarah Dias,aaraujo@oliveira.br,31977873101,31995680702,37912992562,4,VENDA NOVA
Sr. Augusto Pereira,406.158.293-33,11/07/1994,eda-conceicao@nascimento.br,35994467843,32963343909,"Sítio de Cunha, 99, Castelo, 50474699 Martins / SP",62189567,Moura de Costa,MG,269,Mangabeiras,Infectologista,EMPRESÁRIO,SERVIDOR PÚBLICO,INDÚSTRIA,Luiz Fernando Nascimento,da-conceicaostephany@novaes.org,31985789961,37996108255,38962804685,5,UNIMONTES
Maria Luiza Oliveira,473.809.516-10,31/07/1999,theocastro@da.com,37944395308,37989103920,"Área Azevedo, 32, Pindorama, 54795-614 Porto / MT",77890614,Azevedo do Amparo,AP,139,Conjunto Celso Machado,Filósofo,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,SERVIÇOS,Gustavo Ramos,almeidamaria-luiza@da.br,38980081613,31935374659,34919800826,5,UNIMONTES
Theo Lopes,423.691.508-15,27/11/1988,joana92@gmail.com,37942670214,35950228274,"Estação Ana Júlia Vieira, 63, Andiroba, 64745850 Cunha / CE",56232213,Lima Verde,GO,826,Santa Rosa,Tecnólogo em rochas ornamentais,EMPRESÁRIO,AUTÔNOMO,INDÚSTRIA,Maria Fernanda Mendes,melissada-rocha@novaes.br,32982050811,35953959891,33915122628,5,UNIMONTES
Ana Laura Cavalcanti,123.679.580-68,26/08/1966,lucas20@ribeiro.br,33928080072,33979525339,"Conjunto de Nascimento, 789, Taquaril, 46351-732 Ramos do Campo / DF",49177-665,Moura da Serra,MA,629,Vila Nova Gameleira 2ª Seção,Corretor da bolsa de valores,EMPRESÁRIO,CLT,INDÚSTRIA,Luigi Pires,mouraluiz-felipe@pinto.br,35911389128,38982433973,33955240923,6,PAMPULHA
Eduardo Oliveira,532.740.891-41,29/12/1990,alice23@hotmail.com,35945719156,31994503744,"Praça Emanuel Nogueira, 13, Vila Oeste, 86570720 Araújo / RS",28691283,Gomes da Prata,AM,411,Garças,Perito judicial,EMPRESÁRIO,AUTÔNOMO,SERVIÇOS,Alana da Mota,oazevedo@cunha.com,34969813519,32939600667,31983018368,6,PAMPULHA
Laís Almeida,983.075.621-12,08/06/2003,vpires@hotmail.com,35914567582,33956799972,"Parque de Vieira, 898, Maria Goretti, 65546-445 Jesus do Oeste / RS",45654-427,Sales,AM,122,Vitoria Da Conquista,Crítico,ASSALARIADO,CLT,COMÉRCIO,Leandro Cunha,aramos@da.com,38968544365,33987376561,37904969237,6,PAMPULHA
Joana Barbosa,430.912.768-13,03/08/1986,da-costamaria-sophia@barros.com,37920110438,35919879108,"Parque Sabrina Moura, 12, Boa Esperança, 00161916 Nogueira do Oeste / CE",98617464,Rocha das Flores,AP,888,Vila Puc,Baixista,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,João Pedro Caldeira,thales57@sales.com,33985198486,35902341722,34968862301,7,POLÍCIA FEDERAL
Caio Moraes,487.039.265-83,14/01/1991,barbara59@fernandes.com,35980145274,31927256796,"Estação Milena Pires, Marajó, 15273-698 Ferreira / RR",31495692,Carvalho,MT,856,Vila Ipiranga,Operador de telemarketing,ASSALARIADO,AUTÔNOMO,INDÚSTRIA,Gabrielly da Cruz,goncalvesana-carolina@monteiro.net,38984252829,32955110639,33984070997,7,POLÍCIA FEDERAL
Ana Laura Pires,965.048.713-10,20/05/1967,ncaldeira@pires.com,31965877331,31958297407,"Trevo de Barros, 52, Novo São Lucas, 61608-157 Araújo da Mata / RS",04522272,Freitas do Galho,AL,892,São Tomaz,Separador,ASSALARIADO,CLT,INDÚSTRIA,Luiz Felipe Silveira,antonio65@melo.com,38919078358,38901124701,31949861976,7,POLÍCIA FEDERAL
Lucas Novaes,815.926.047-49,20/09/1988,castrovitor-gabriel@das.br,32905408672,38958481969,"Núcleo Cunha, 204, Conjunto Califórnia Ii, 02846602 Pinto / BA",03059-851,Caldeira de Minas,AP,754,Esperança,Cozinheira,EMPRESÁRIO,CLT,INDÚSTRIA,Sra. Isadora Moura,ramosamanda@barbosa.br,38943009350,33922557120,33980254720,8,BARBACENA
Natália Fogaça,126.897.305-02,29/09/1970,theo49@bol.com.br,31941037646,38901292381,"Esplanada Vitor da Mata, 2, Boa União 1ª Seção, 23919-788 da Paz do Amparo / MS",90664-059,Almeida dos Dourados,MG,967,Santa Rosa,Aviador,EMPRESÁRIO,AUTÔNOMO,SERVIÇOS,Agatha da Luz,ebarros@teixeira.com,33977500866,35938074423,31993341614,8,BARBACENA
Pedro Miguel Pereira,018.429.735-41,23/04/1973,joanamelo@pires.com,33951374808,35934850454,"Feira de Silveira, 128, Vila Santa Rosa, 86076-439 Correia / ES",18980-046,Azevedo do Amparo,AC,126,São Paulo,Tecnólogo em geoprocessamento,ASSALARIADO,SERVIDOR PÚBLICO,SERVIÇOS,Davi Lucca Nunes,rviana@sales.com,38920531740,37920803726,31903653646,8,BARBACENA
Sophia Vieira,705.629.138-40,08/04/1974,araujoyasmin@gmail.com,33997905390,35991313950,"Loteamento de Cavalcanti, Vila Vista Alegre, 49046118 Peixoto da Mata / MS",15215816,Fogaça de Minas,RJ,575,Palmares,Intérprete de Bíblias,EMPRESÁRIO,CLT,COMÉRCIO,Benício Melo,murilogomes@da.com,31941115573,35989926652,34904165666,9,DIAMANTINA
Luiz Fernando Costa,734.509.826-56,17/01/1993,alicealves@moraes.br,32922300037,35973583760,"Conjunto Monteiro, 82, Paulo Vi, 24920-896 Rezende de da Mota / RR",94102274,Santos,AC,59,Acaba Mundo,Capataz,ASSALARIADO,CLT,COMÉRCIO,Pedro Lucas Monteiro,caio77@ramos.com,35963613306,37989208944,35900332735,9,DIAMANTINA
Davi Souza,536.490.172-61,24/05/1989,frocha@araujo.com,32954797195,32945349674,"Praia Sofia Rocha, 8, Vila São Francisco, 47344083 Almeida / MA",53633494,Porto,TO,14,Céu Azul,Fisiculturista,EMPRESÁRIO,SERVIDOR PÚBLICO,INDÚSTRIA,Miguel Dias,nmoura@teixeira.br,32950225346,34974266195,35979905129,9,DIAMANTINA
Thales Nogueira,652.731.084-62,14/01/2005,rodrigo08@pereira.org,32988434416,31945856138,"Trecho Jesus, Vila Fumec, 53715-096 Porto do Campo / RN",15379422,Novaes do Galho,RN,172,São José,Almoxarife,ASSALARIADO,AUTÔNOMO,INDÚSTRIA,Isabelly Duarte,qda-costa@campos.com,34989719544,34932884015,31935389847,10,SÃO JOSÉ DA LAPA
Dr. Benjamin Lima,792.314.056-16,16/11/1982,rporto@bol.com.br,38913151827,37964624079,"Passarela de Melo, Barão Homem De Melo 3ª Seção, 51860369 Martins / PA",26340-627,Aragão de Silva,ES,227,Jardim Do Vale,Designer de interiores,ASSALARIADO,AUTÔNOMO,SERVIÇOS,Mariane da Rocha,maysacastro@campos.com,31980615165,33941067211,35965739784,10,SÃO JOSÉ DA LAPA
Miguel Silveira,459.720.613-25,20/12/1980,psilveira@da.org,37966419802,33976301141,"Rua de Nunes, 8, Granja De Freitas, 76014-204 Freitas da Mata / RJ",12105007,Nunes do Sul,CE,263,Ademar Maldonado,Engenheiro de alimentos,EMPRESÁRIO,CLT,INDÚSTRIA,Gabriel da Costa,livia55@mendes.com,38994540800,38915227076,31993606975,10,SÃO JOSÉ DA LAPA
Dr. Vitor Hugo Barros,430.975.821-50,21/11/1985,piresleticia@castro.com,37949875210,33980751998,"Aeroporto Francisco Carvalho, 8, Vila Jardim São José, 91373-145 Fogaça do Oeste / AL",27677794,da Mota dos Dourados,MG,727,São Salvador,Ministro,EMPRESÁRIO,AUTÔNOMO,COMÉRCIO,Sophie da Rosa,ffogaca@oliveira.org,33991724876,38908860007,38964791425,11,LOURDES
Ana Sophia da Costa,832.671.490-96,09/01/1980,afernandes@gmail.com,37976308488,38912900913,"Estrada Olivia Gonçalves, Conjunto Califórnia I, 72186-840 Martins / DF",89932157,Rezende,AL,255,Vila Dos Anjos,Assistente social,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,INDÚSTRIA,Manuela Vieira,da-rochaenrico@freitas.net,34952116979,31925958567,33990989238,11,LOURDES
Vitor Hugo Ramos,325.178.064-62,26/01/1982,barbosamirella@uol.com.br,38939738264,32932052223,"Viaduto de Araújo, 27, Mariano De Abreu, 90241-776 Gonçalves do Campo / RS",63421317,Correia do Sul,RJ,5,Jardim América,Pedagogo,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Stella Caldeira,noahmartins@da.com,35920124672,37986860811,38923954153,11,LOURDES
Alice da Mota,508.326.971-68,05/06/1994,da-pazvinicius@gmail.com,31906170715,35979833316,"Vila de Santos, 94, Jaraguá, 99706-373 Viana / SP",17675-743,Farias,SC,566,João Alfredo,Repositor,PROFISSIONAL AUTÔNOMO,CLT,COMÉRCIO,Luiz Henrique Ribeiro,paraujo@silveira.br,37960876491,34994907775,32953967405,12,IBIRITÉ
Ian Sales,593.867.210-40,03/02/1994,gabriel08@da.com,32926094513,34903477153,"Feira de Viana, 62, Vila Canto Do Sabiá, 18306-745 Barros da Serra / MA",82779-433,Silveira da Serra,GO,578,Horto Florestal,Pneumologista,EMPRESÁRIO,CLT,COMÉRCIO,João Pedro da Costa,zgomes@rocha.com,32948092883,34985295255,34976531596,12,IBIRITÉ
Laura Cardoso,463.275.801-90,14/12/2004,alanalima@gmail.com,31953852261,31997201769,"Campo Dias, 16, Boa Vista, 61285-305 Caldeira de da Costa / PB",64057258,Cavalcanti,AM,129,Ouro Minas,Administrador,ASSALARIADO,CLT,SERVIÇOS,Dra. Mirella Ramos,crezende@pires.br,31953707217,33900597438,35949960980,12,IBIRITÉ
Srta. Ana Clara Pereira,327.405.918-88,15/11/1962,rodrigorezende@uol.com.br,34918298930,34989156352,"Favela Gabriel Carvalho, Vila Copacabana, 33774449 Campos / RR",29544694,Campos da Mata,TO,318,Vila Nova Gameleira 3ª Seção,Dublador,EMPRESÁRIO,AUTÔNOMO,INDÚSTRIA,Sophia Caldeira,alanasantos@nascimento.br,31972828653,38931729643,37949725917,13,MARIANA
Marina Moura,026.439.517-43,31/12/1994,pedro-henrique99@goncalves.net,31943085012,38971094963,"Núcleo Sarah Gomes, 18, Vila Calafate, 71919-337 da Costa / SE",60484269,Teixeira de Novaes,SE,464,Conjunto Lagoa,Engenheiro de controle e automação,EMPRESÁRIO,SERVIDOR PÚBLICO,INDÚSTRIA,Dr. Vinicius Rocha,luiz-felipe05@ferreira.br,31914674724,37914880679,32971634932,13,MARIANA
Otávio Cavalcanti,502.978.613-95,18/09/1960,melissarodrigues@yahoo.com.br,32926628881,35912358646,"Estação Viana, 664, Vila União, 33870-548 Porto / BA",51139-866,Rocha,AM,836,Novo Das Industrias,Crítico,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,COMÉRCIO,Maitê Campos,joao-vitor78@costela.net,31987150071,38970329846,31929804421,13,MARIANA
Sra. Eduarda da Rocha,486.510.932-33,15/03/1986,ana-julia98@bol.com.br,34912763395,38985325147,"Passarela Moraes, 19, Piratininga, 04725882 Costela Alegre / MT",95189-373,Jesus,RO,107,Vila Independencia 2ª Seção,Engenheiro de processos,EMPRESÁRIO,CLT,COMÉRCIO,Raul Duarte,alexia50@silva.com,35998618926,35949674834,33902588425,14,SÃO JOÃO DEL-REI
Cauê da Rosa,136.429.758-28,15/01/2001,davi-lucca99@pires.org,34900348265,33928334703,"Alameda de Aragão, 68, Horto Florestal, 60691-706 Campos / PA",90785-530,Fogaça,ES,49,Conjunto Capitão Eduardo,Relações públicas,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,COMÉRCIO,Clarice da Paz,sabrina29@porto.br,37955658425,31959966340,34903572516,14,SÃO JOÃO DEL-REI
Yago da Conceição,961.243.057-80,29/01/1993,leandroda-rosa@yahoo.com.br,31946392706,32989738220,"Viela de Lima, 72, Barão Homem De Melo 1ª Seção, 73518-441 Ferreira / MT",99726827,Santos Alegre,AP,97,João Pinheiro,Psicopedagogo,ASSALARIADO,SERVIDOR PÚBLICO,INDÚSTRIA,Dra. Maria Vitória Ramos,yasminramos@moura.com,32979361081,37900833820,35908103186,14,SÃO JOÃO DEL-REI
Maria Luiza da Cruz,062.549.387-74,29/01/1971,maria-fernanda27@farias.net,32901038004,32973893755,"Avenida Bruno Jesus, 59, Madri, 21546435 da Mota de da Luz / AC",08999885,Santos,AP,490,Carlos Prates,Ginecologista,EMPRESÁRIO,AUTÔNOMO,INDÚSTRIA,Renan Cardoso,samuelda-mota@santos.com,32967930201,34947921303,33997460786,15,RIBEIRÃO DAS NEVES
Levi da Rocha,527.430.891-05,17/04/1982,da-costaigor@yahoo.com.br,37966736612,31980335930,"Loteamento de Lima, Nova Vista, 30431-759 Souza de Lima / PI",11290351,da Mota,SP,557,Vila Mangueiras,Militar da Marinha,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Dr. Marcelo Dias,ianteixeira@aragao.br,37905793750,32988679092,32940335521,15,RIBEIRÃO DAS NEVES
Davi Nogueira,561.243.879-64,03/09/1978,eribeiro@teixeira.br,32951798736,37984858140,"Núcleo Gomes, 46, Alto Vera Cruz, 72656583 Nunes / AC",18697-828,Ferreira dos Dourados,PB,78,Vila Minaslandia,Espeleologista,EMPRESÁRIO,CLT,SERVIÇOS,Stephany Cavalcanti,camposjulia@caldeira.com,32941399684,38927395285,38988140304,15,RIBEIRÃO DAS NEVES
Leonardo Campos,103.264.759-07,12/01/1969,meloisis@uol.com.br,31943596981,31967576894,"Quadra de da Rosa, Grotinha, 25166-670 Viana / MA",69390824,Moraes de da Mota,CE,305,Rio Branco,Montador de negativos,ASSALARIADO,AUTÔNOMO,INDÚSTRIA,Letícia Vieira,vianaerick@da.net,32999672051,37939335090,37956200316,16,CONTAGEM
Thales Mendes,032.548.769-38,29/09/1964,da-conceicaoclarice@monteiro.com,37932520255,32938566633,"Vale Aragão, 32, Alta Tensão 2ª Seção, 09085385 Duarte / MT",93272930,Moraes,PR,183,Vila Fumec,Engenheiro de minas,ASSALARIADO,CLT,COMÉRCIO,Gabriel Campos,otaviomartins@goncalves.br,32926500824,37943383414,33993293858,16,CONTAGEM
Sabrina Rodrigues,047.915.632-80,09/09/2003,oda-cruz@yahoo.com.br,32932219062,33918241440,"Campo Duarte, Anchieta, 98110-372 Almeida da Prata / AL",56630-845,Ribeiro,PI,509,Marilandia,Senador,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Dra. Alexia da Luz,gporto@campos.org,32950799441,35906766428,31945459959,16,CONTAGEM
Stella Gomes,126.759.438-19,15/03/1981,camposcalebe@bol.com.br,32956616689,33988002974,"Via Alexia Lopes, 680, Vila Jardim Montanhes, 58049938 Cavalcanti / MG",48335429,Alves,AL,309,Conjunto Capitão Eduardo,Crítico,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Ana Lívia da Paz,otavio18@martins.com,37939099969,37993566926,33900150022,17,BETIM
Augusto Nogueira,674.089.352-74,23/12/1967,barrosalicia@hotmail.com,33948731161,33988542256,"Avenida de Silveira, 3, Ermelinda, 32477-609 da Mota / PE",37481-184,Lopes,SP,692,Campo Alegre,Lavador,EMPRESÁRIO,CLT,COMÉRCIO,Lavínia Pereira,nicolas12@fogaca.net,35967145560,34977951165,37928597655,17,BETIM
Maria Luiza da Mota,287.413.569-00,22/03/1981,luiz-miguelgoncalves@uol.com.br,31908137995,35952357256,"Favela de Carvalho, 12, Granja De Freitas, 14327694 Castro / PA",70364476,Novaes,PB,573,Diamante,Jogador de golfe,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,COMÉRCIO,Mariana Santos,stephany28@cunha.com,37948149305,35971657868,33932911981,17,BETIM
Letícia Lopes,347.098.621-50,18/09/1976,enzocastro@hotmail.com,34919470135,38963305803,"Feira Bryan Pires, 34, Nova Vista, 37519845 Melo / AL",04036-771,Barbosa,BA,702,Nossa Senhora Aparecida,Bancário,EMPRESÁRIO,CLT,INDÚSTRIA,Thales da Costa,rochabenicio@pires.net,37948356664,37944471975,37971938961,18,CONGONHAS
Miguel das Neves,740.318.926-40,27/03/1973,mgoncalves@hotmail.com,32923620614,37996463373,"Ladeira de da Luz, 6, Vila Paris, 05471-757 Nascimento de Moreira / ES",95936451,da Luz,SP,990,Vila Da Luz,Chefe de cozinha,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,SERVIÇOS,Isaac Cardoso,thiago84@costa.br,33958490897,38913526086,35955128318,18,CONGONHAS
Luana Moura,208.956.743-00,28/09/1992,pietro87@hotmail.com,37980338343,32930805238,"Vale da Mata, Centro, 10797913 Jesus de Sales / SC",76135-264,Almeida,AM,311,Alto Barroca,Técnico tributarista,EMPRESÁRIO,SERVIDOR PÚBLICO,COMÉRCIO,Miguel Nunes,eferreira@monteiro.br,37962588525,33930391555,37931630021,18,CONGONHAS
Vitor Gabriel Nunes,657.342.819-64,04/11/1964,duartehelena@moreira.com,31945212182,35902289571,"Vereda Caldeira, 49, Ventosa, 61846835 Duarte / PE",35451997,Lima,AC,114,Novo Santa Cecilia,Cancerologista ou Oncologista,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,SERVIÇOS,Clara Azevedo,waraujo@azevedo.com,34927274595,35993176512,37933726595,21,SABARÁ
Luiz Miguel Rodrigues,589.417.032-04,23/07/1963,isouza@ig.com.br,32903709630,34952560555,"Chácara Sales, 49, Ribeiro De Abreu, 69883992 Silva / RS",66683092,da Cruz,MG,603,Vila Ipiranga,Lapidário,ASSALARIADO,CLT,SERVIÇOS,Milena Teixeira,kcardoso@nunes.com,32975462568,31967763339,35912600032,21,SABARÁ
Luana Cunha,589.041.276-02,10/05/2001,limarafaela@dias.br,34958214397,33969850839,"Distrito de Ramos, Pantanal, 03839-276 Nogueira / PI",42809782,Freitas,PE,166,Leonina,Perfumista,ASSALARIADO,SERVIDOR PÚBLICO,SERVIÇOS,Francisco Araújo,gabrielfogaca@fogaca.com,32935113469,32951981679,37945675936,21,SABARÁ
Bernardo Aragão,467.529.381-64,26/04/1975,mariana00@ig.com.br,37935441068,35954224288,"Residencial Viana, 827, Ambrosina, 26329-966 Dias de Jesus / MA",56376329,Souza,RS,749,Califórnia,Seringueiro,EMPRESÁRIO,SERVIDOR PÚBLICO,COMÉRCIO,Maria Fernanda Oliveira,ana-julia09@carvalho.net,38923175801,34973752744,37992689117,22,CACHOEIRA DO CAMPO
Dr. Lucca Santos,642.189.750-94,13/05/1987,alice21@silveira.com,32970325123,34922639278,"Travessa Elisa da Mata, 84, Floresta, 04264133 Souza Alegre / AM",51265-171,Silva,ES,414,Vila Nova Cachoeirinha 1ª Seção,Fundidor,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Ana da Conceição,sophia74@silveira.com,31909567644,33954204370,31975284188,22,CACHOEIRA DO CAMPO
Danilo Santos,193.678.452-19,18/12/1981,gcardoso@costa.org,33987884584,35910789324,"Largo de Caldeira, 57, Barão Homem De Melo 2ª Seção, 13602-242 Ferreira de da Luz / PB",25407-511,Moura,PR,675,Vila Maloca,Auxiliar de serviços gerais,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Vitor Hugo Teixeira,sophieramos@araujo.net,33918785449,32914922300,32976761635,22,CACHOEIRA DO CAMPO
Luiz Otávio Rocha,851.920.346-98,27/05/1990,oda-luz@pires.com,31996126278,35927999645,"Ladeira de Cunha, 423, Antonio Ribeiro De Abreu 1ª Seção, 41589-504 Rocha dos Dourados / RS",31467375,Almeida de Rezende,MT,36,São Pedro,Optometrista,ASSALARIADO,AUTÔNOMO,SERVIÇOS,Augusto Nunes,maria-vitoriacaldeira@azevedo.com,35937142670,31995241213,33902107747,23,CARANDAÍ
Heloísa Cardoso,527.903.486-00,02/06/1961,bruno62@araujo.org,37961093346,33943845983,"Feira de Viana, 40, Floresta, 83067772 Peixoto / RO",61123-673,Costa,RO,978,Vila Satélite,Chargista,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,COMÉRCIO,Ana Luiza Monteiro,anthony82@correia.com,31993244927,32957767769,33938727001,23,CARANDAÍ
Dr. João Gabriel Pinto,378.492.156-64,21/04/1974,tcorreia@azevedo.br,31942791075,33919448695,"Vale de Gonçalves, Paulo Vi, 90921-750 Alves de Goiás / CE",18484-702,da Rosa dos Dourados,DF,653,Maria Virgínia,Enfermeiro,EMPRESÁRIO,SERVIDOR PÚBLICO,COMÉRCIO,Caio Teixeira,sophiafernandes@melo.org,33964309788,32996901675,33937028802,23,CARANDAÍ
Luiz Fernando Pinto,046.891.753-57,06/05/1960,samuelnunes@hotmail.com,34909578345,34993344998,"Recanto de Carvalho, 23, Cachoeirinha, 56509-159 Nascimento / TO",02057334,Freitas de Silveira,RR,70,Jardim Do Vale,Consultor,EMPRESÁRIO,AUTÔNOMO,SERVIÇOS,Raul Carvalho,qfreitas@campos.net,34916283083,31906203503,35906676994,24,SANTOS DUMONT
Ian Martins,321.856.407-71,02/06/1975,lorenzoviana@bol.com.br,31948707383,37975341065,"Parque de Lima, 752, Teixeira Dias, 57195306 Cunha de Oliveira / MS",59845073,da Paz de Cardoso,MG,609,Mangabeiras,Engenheiro mecatrônico,ASSALARIADO,AUTÔNOMO,SERVIÇOS,Mariane Oliveira,dduarte@cardoso.com,33957707088,32949813996,35972603919,24,SANTOS DUMONT
