nome,documento,dataNascimento,email,telefone_1,telefone_2,endereco,cep,municipio,uf,numeroEndereco,bairro,profissao,atividadeEconomica,vinculoEmpregaticio,tipoRenda,nome_gerente,email_gerente,telefone_gerente_1,telefone_gerente_2,telefone_gerente_3,id_pa,nome_pa
Maria Luiza Oliveira,473.809.516-10,31/07/1999,theocastro@da.com,+55 41 1599-7730,+55 (081) 0041 8801,"Área Azevedo, 32, Pindorama, 54795-614 Porto / MT",77890614,Azevedo do Amparo,AP,139,Conjunto Celso Machado,Filósofo,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,SERVIÇOS,Gustavo Ramos,almeidamaria-luiza@da.br,(041) 7713 9756,+55 81 2827 7150,21 9392-3851,5,UNIMONTES
Theo Lopes,423.691.508-15,27/11/1988,joana92@gmail.com,+55 (011) 3721-9839,0900-959-0861,"Estação Ana Júlia Vieira, 63, Andiroba, 64745850 Cunha / CE",56232213,Lima Verde,GO,826,Santa Rosa,Tecnólogo em rochas ornamentais,EMPRESÁRIO,AUTÔNOMO,INDÚSTRIA,Maria Fernanda Mendes,melissada-rocha@novaes.br,11 6165-1666,(061) 5151-6119,+55 81 6358 4855,5,UNIMONTES
Ana Laura Cavalcanti,123.679.580-68,26/08/1966,lucas20@ribeiro.br,+55 (081) 8062-0834,(011) 4080 0210,"Conjunto de Nascimento, 789, Taquaril, 46351-732 Ramos do Campo / DF",49177-665,Moura da Serra,MA,629,Vila Nova Gameleira 2ª Seção,Corretor da bolsa de valores,EMPRESÁRIO,CLT,INDÚSTRIA,Luigi Pires,mouraluiz-felipe@pinto.br,(031) 2475 2169,+55 (011) 3445-3321,84 2953-9197,6,PAMPULHA
Eduardo Oliveira,532.740.891-41,29/12/1990,alice23@hotmail.com,84 3399-3499,+55 (031) 0978 3728,"Praça Emanuel Nogueira, 13, Vila Oeste, 86570720 Araújo / RS",28691283,Gomes da Prata,AM,411,Garças,Perito judicial,EMPRESÁRIO,AUTÔNOMO,SERVIÇOS,Alana da Mota,oazevedo@cunha.com,(041) 1056-4360,+55 (011) 8077 8977,+55 (031) 6490 9770,6,PAMPULHA
Laís Almeida,983.075.621-12,08/06/2003,vpires@hotmail.com,+55 61 2016 0015,0800 559 4455,"Parque de Vieira, 898, Maria Goretti, 65546-445 Jesus do Oeste / RS",45654-427,Sales,AM,122,Vitoria Da Conquista,Crítico,ASSALARIADO,CLT,COMÉRCIO,Leandro Cunha,aramos@da.com,+55 (061) 4722-4184,+55 51 3855 3950,61 1269-8337,6,PAMPULHA
Joana Barbosa,430.912.768-13,03/08/1986,da-costamaria-sophia@barros.com,(041) 6050 3901,(011) 2990-2081,"Parque Sabrina Moura, 12, Boa Esperança, 00161916 Nogueira do Oeste / CE",98617464,Rocha das Flores,AP,888,Vila Puc,Baixista,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,João Pedro Caldeira,thales57@sales.com,+55 41 9565-9562,+55 (021) 1154-7207,0800 940 9738,7,POLÍCIA FEDERAL
Caio Moraes,487.039.265-83,14/01/1991,barbara59@fernandes.com,(081) 2471 7756,+55 (011) 8602 4884,"Estação Milena Pires, Marajó, 15273-698 Ferreira / RR",31495692,Carvalho,MT,856,Vila Ipiranga,Operador de telemarketing,ASSALARIADO,AUTÔNOMO,INDÚSTRIA,Gabrielly da Cruz,goncalvesana-carolina@monteiro.net,0800 450 7078,+55 (071) 9101-2979,61 3280 9623,7,POLÍCIA FEDERAL
Ana Laura Pires,965.048.713-10,20/05/1967,ncaldeira@pires.com,81 3110-6154,(011) 9626-8998,"Trevo de Barros, 52, Novo São Lucas, 61608-157 Araújo da Mata / RS",04522272,Freitas do Galho,AL,892,São Tomaz,Separador,ASSALARIADO,CLT,INDÚSTRIA,Luiz Felipe Silveira,antonio65@melo.com,61 2022-1182,+55 (031) 8948 2197,+55 31 9800-7428,7,POLÍCIA FEDERAL
Lucas Novaes,815.926.047-49,20/09/1988,castrovitor-gabriel@das.br,0800-795-6173,0800-221-5777,"Núcleo Cunha, 204, Conjunto Califórnia Ii, 02846602 Pinto / BA",03059-851,Caldeira de Minas,AP,754,Esperança,Cozinheira,EMPRESÁRIO,CLT,INDÚSTRIA,Sra. Isadora Moura,ramosamanda@barbosa.br,11 6161 1993,61 7922 2231,(031) 3068-9994,8,BARBACENA
Natália Fogaça,126.897.305-02,29/09/1970,theo49@bol.com.br,+55 71 9252-9412,+55 (051) 1773-0242,"Esplanada Vitor da Mata, 2, Boa União 1ª Seção, 23919-788 da Paz do Amparo / MS",90664-059,Almeida dos Dourados,MG,967,Santa Rosa,Aviador,EMPRESÁRIO,AUTÔNOMO,SERVIÇOS,Agatha da Luz,ebarros@teixeira.com,0300 947 1555,0900-655-0326,+55 (071) 8314 3867,8,BARBACENA
Pedro Miguel Pereira,018.429.735-41,23/04/1973,joanamelo@pires.com,(011) 5361-7342,+55 61 2741-5922,"Feira de Silveira, 128, Vila Santa Rosa, 86076-439 Correia / ES",18980-046,Azevedo do Amparo,AC,126,São Paulo,Tecnólogo em geoprocessamento,ASSALARIADO,SERVIDOR PÚBLICO,SERVIÇOS,Davi Lucca Nunes,rviana@sales.com,+55 81 5594 6128,+55 11 6984-6394,(021) 0067 3123,8,BARBACENA
Sophia Vieira,705.629.138-40,08/04/1974,araujoyasmin@gmail.com,+55 (084) 2204-0809,+55 71 5364 9336,"Loteamento de Cavalcanti, Vila Vista Alegre, 49046118 Peixoto da Mata / MS",15215816,Fogaça de Minas,RJ,575,Palmares,Intérprete de Bíblias,EMPRESÁRIO,CLT,COMÉRCIO,Benício Melo,murilogomes@da.com,+55 31 7872 1184,+55 (051) 4662-2042,(041) 3888-4351,9,DIAMANTINA
Luiz Fernando Costa,734.509.826-56,17/01/1993,alicealves@moraes.br,(051) 5506-2439,(071) 1925 3888,"Conjunto Monteiro, 82, Paulo Vi, 24920-896 Rezende de da Mota / RR",94102274,Santos,AC,59,Acaba Mundo,Capataz,ASSALARIADO,CLT,COMÉRCIO,Pedro Lucas Monteiro,caio77@ramos.com,(031) 9024 4192,+55 (071) 6222 2499,0500 234 2593,9,DIAMANTINA
Davi Souza,536.490.172-61,24/05/1989,frocha@araujo.com,51 9310 5051,+55 (031) 0154 2865,"Praia Sofia Rocha, 8, Vila São Francisco, 47344083 Almeida / MA",53633494,Porto,TO,14,Céu Azul,Fisiculturista,EMPRESÁRIO,SERVIDOR PÚBLICO,INDÚSTRIA,Miguel Dias,nmoura@teixeira.br,21 3507 4670,(031) 1957-1620,+55 61 3856-7379,9,DIAMANTINA
Thales Nogueira,652.731.084-62,14/01/2005,rodrigo08@pereira.org,84 0204-7213,81 6172-0431,"Trecho Jesus, Vila Fumec, 53715-096 Porto do Campo / RN",15379422,Novaes do Galho,RN,172,São José,Almoxarife,ASSALARIADO,AUTÔNOMO,INDÚSTRIA,Isabelly Duarte,qda-costa@campos.com,71 7478 8337,+55 84 1352-2443,+55 41 3033-7297,10,SÃO JOSÉ DA LAPA
Dr. Benjamin Lima,792.314.056-16,16/11/1982,rporto@bol.com.br,51 3224 1296,+55 21 7710 5221,"Passarela de Melo, Barão Homem De Melo 3ª Seção, 51860369 Martins / PA",26340-627,Aragão de Silva,ES,227,Jardim Do Vale,Designer de interiores,ASSALARIADO,AUTÔNOMO,SERVIÇOS,Mariane da Rocha,maysacastro@campos.com,+55 (021) 6752-3906,+55 (061) 4385-1415,(011) 1234 2163,10,SÃO JOSÉ DA LAPA
Miguel Silveira,459.720.613-25,20/12/1980,psilveira@da.org,+55 (041) 8873-9636,+55 (031) 0912-1773,"Rua de Nunes, 8, Granja De Freitas, 76014-204 Freitas da Mata / RJ",12105007,Nunes do Sul,CE,263,Ademar Maldonado,Engenheiro de alimentos,EMPRESÁRIO,CLT,INDÚSTRIA,Gabriel da Costa,livia55@mendes.com,+55 (011) 6367 4049,+55 51 2516 5153,+55 81 5461-7053,10,SÃO JOSÉ DA LAPA
Dr. Vitor Hugo Barros,430.975.821-50,21/11/1985,piresleticia@castro.com,+55 81 8284 2553,+55 (071) 3217 5203,"Aeroporto Francisco Carvalho, 8, Vila Jardim São José, 91373-145 Fogaça do Oeste / AL",27677794,da Mota dos Dourados,MG,727,São Salvador,Ministro,EMPRESÁRIO,AUTÔNOMO,COMÉRCIO,Sophie da Rosa,ffogaca@oliveira.org,+55 (071) 3816 0244,+55 81 8235 2554,0800 080 4548,11,LOURDES
Ana Sophia da Costa,832.671.490-96,09/01/1980,afernandes@gmail.com,71 3849 2035,(061) 7271-6506,"Estrada Olivia Gonçalves, Conjunto Califórnia I, 72186-840 Martins / DF",89932157,Rezende,AL,255,Vila Dos Anjos,Assistente social,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,INDÚSTRIA,Manuela Vieira,da-rochaenrico@freitas.net,(021) 9559-7173,+55 61 9852 8520,(031) 4840 4566,11,LOURDES
Vitor Hugo Ramos,325.178.064-62,26/01/1982,barbosamirella@uol.com.br,+55 (084) 1164 7257,+55 21 6151 1761,"Viaduto de Araújo, 27, Mariano De Abreu, 90241-776 Gonçalves do Campo / RS",63421317,Correia do Sul,RJ,5,Jardim América,Pedagogo,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Stella Caldeira,noahmartins@da.com,+55 (011) 4573-9810,84 9892 1641,71 7510-8041,11,LOURDES
Alice da Mota,508.326.971-68,05/06/1994,da-pazvinicius@gmail.com,11 6488-4791,+55 (031) 9763-6400,"Vila de Santos, 94, Jaraguá, 99706-373 Viana / SP",17675-743,Farias,SC,566,João Alfredo,Repositor,PROFISSIONAL AUTÔNOMO,CLT,COMÉRCIO,Luiz Henrique Ribeiro,paraujo@silveira.br,(081) 4743 0364,+55 (011) 7255-7290,(051) 3116 2459,12,IBIRITÉ
Ian Sales,593.867.210-40,03/02/1994,gabriel08@da.com,(081) 8943 4118,+55 81 2474-0091,"Feira de Viana, 62, Vila Canto Do Sabiá, 18306-745 Barros da Serra / MA",82779-433,Silveira da Serra,GO,578,Horto Florestal,Pneumologista,EMPRESÁRIO,CLT,COMÉRCIO,João Pedro da Costa,zgomes@rocha.com,+55 31 5197 8799,(011) 2499-6479,0300 577 6796,12,IBIRITÉ
Laura Cardoso,463.275.801-90,14/12/2004,alanalima@gmail.com,11 4532 1583,+55 (051) 8776 7221,"Campo Dias, 16, Boa Vista, 61285-305 Caldeira de da Costa / PB",64057258,Cavalcanti,AM,129,Ouro Minas,Administrador,ASSALARIADO,CLT,SERVIÇOS,Dra. Mirella Ramos,crezende@pires.br,0300-388-2736,+55 (071) 9471 8135,(041) 1661-0961,12,IBIRITÉ
Srta. Ana Clara Pereira,327.405.918-88,15/11/1962,rodrigorezende@uol.com.br,(031) 1201 8714,+55 (061) 8019 6704,"Favela Gabriel Carvalho, Vila Copacabana, 33774449 Campos / RR",29544694,Campos da Mata,TO,318,Vila Nova Gameleira 3ª Seção,Dublador,EMPRESÁRIO,AUTÔNOMO,INDÚSTRIA,Sophia Caldeira,alanasantos@nascimento.br,+55 11 0690-6938,+55 61 8963-7202,0300 843 3636,13,MARIANA
Marina Moura,026.439.517-43,31/12/1994,pedro-henrique99@goncalves.net,+55 (061) 7898 3432,+55 (031) 7755 9559,"Núcleo Sarah Gomes, 18, Vila Calafate, 71919-337 da Costa / SE",60484269,Teixeira de Novaes,SE,464,Conjunto Lagoa,Engenheiro de controle e automação,EMPRESÁRIO,SERVIDOR PÚBLICO,INDÚSTRIA,Dr. Vinicius Rocha,luiz-felipe05@ferreira.br,21 8376-9260,(031) 2623 8235,71 6902 6716,13,MARIANA
Otávio Cavalcanti,502.978.613-95,18/09/1960,melissarodrigues@yahoo.com.br,(041) 6367 7877,+55 51 5113 6467,"Estação Viana, 664, Vila União, 33870-548 Porto / BA",51139-866,Rocha,AM,836,Novo Das Industrias,Crítico,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,COMÉRCIO,Maitê Campos,joao-vitor78@costela.net,31 7531-5784,+55 (011) 6789 6810,+55 31 7114 2966,13,MARIANA
Sra. Eduarda da Rocha,486.510.932-33,15/03/1986,ana-julia98@bol.com.br,0500-388-1533,+55 (051) 9812-6879,"Passarela Moraes, 19, Piratininga, 04725882 Costela Alegre / MT",95189-373,Jesus,RO,107,Vila Independencia 2ª Seção,Engenheiro de processos,EMPRESÁRIO,CLT,COMÉRCIO,Raul Duarte,alexia50@silva.com,+55 (084) 9957 8559,0900-994-5547,(041) 3276-7231,14,SÃO JOÃO DEL-REI
Cauê da Rosa,136.429.758-28,15/01/2001,davi-lucca99@pires.org,11 4705-6351,+55 41 6649-7267,"Alameda de Aragão, 68, Horto Florestal, 60691-706 Campos / PA",90785-530,Fogaça,ES,49,Conjunto Capitão Eduardo,Relações públicas,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,COMÉRCIO,Clarice da Paz,sabrina29@porto.br,51 3509 6791,(031) 7572 8803,+55 81 1795-3110,14,SÃO JOÃO DEL-REI
Yago da Conceição,961.243.057-80,29/01/1993,leandroda-rosa@yahoo.com.br,(051) 3608 4999,0900-677-2215,"Viela de Lima, 72, Barão Homem De Melo 1ª Seção, 73518-441 Ferreira / MT",99726827,Santos Alegre,AP,97,João Pinheiro,Psicopedagogo,ASSALARIADO,SERVIDOR PÚBLICO,INDÚSTRIA,Dra. Maria Vitória Ramos,yasminramos@moura.com,71 7310-9652,+55 21 5752 8349,+55 11 0572 4944,14,SÃO JOÃO DEL-REI
Maria Luiza da Cruz,062.549.387-74,29/01/1971,maria-fernanda27@farias.net,31 1818 6535,0800 724 3166,"Avenida Bruno Jesus, 59, Madri, 21546435 da Mota de da Luz / AC",08999885,Santos,AP,490,Carlos Prates,Ginecologista,EMPRESÁRIO,AUTÔNOMO,INDÚSTRIA,Renan Cardoso,samuelda-mota@santos.com,21 9169 1736,31 9168-4564,0800-353-3602,15,RIBEIRÃO DAS NEVES
Levi da Rocha,527.430.891-05,17/04/1982,da-costaigor@yahoo.com.br,(051) 5469 7222,+55 84 0079 6003,"Loteamento de Lima, Nova Vista, 30431-759 Souza de Lima / PI",11290351,da Mota,SP,557,Vila Mangueiras,Militar da Marinha,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,SERVIÇOS,Dr. Marcelo Dias,ianteixeira@aragao.br,(071) 6636-6450,(051) 7922-3379,(051) 5157-6467,15,RIBEIRÃO DAS NEVES
Davi Nogueira,561.243.879-64,03/09/1978,eribeiro@teixeira.br,0500 790 9140,+55 31 9916 1521,"Núcleo Gomes, 46, Alto Vera Cruz, 72656583 Nunes / AC",18697-828,Ferreira dos Dourados,PB,78,Vila Minaslandia,Espeleologista,EMPRESÁRIO,CLT,SERVIÇOS,Stephany Cavalcanti,camposjulia@caldeira.com,+55 51 0121 8935,21 1346-7156,+55 (031) 3160 5350,15,RIBEIRÃO DAS NEVES
Leonardo Campos,103.264.759-07,12/01/1969,meloisis@uol.com.br,(071) 7772-9338,+55 81 8817 7197,"Quadra de da Rosa, Grotinha, 25166-670 Viana / MA",69390824,Moraes de da Mota,CE,305,Rio Branco,Montador de negativos,ASSALARIADO,AUTÔNOMO,INDÚSTRIA,Letícia Vieira,vianaerick@da.net,61 6435 3513,(051) 1063-5387,(021) 7614-3415,16,CONTAGEM
Thales Mendes,032.548.769-38,29/09/1964,da-conceicaoclarice@monteiro.com,(031) 6473-4096,(031) 1060 6465,"Vale Aragão, 32, Alta Tensão 2ª Seção, 09085385 Duarte / MT",93272930,Moraes,PR,183,Vila Fumec,Engenheiro de minas,ASSALARIADO,CLT,COMÉRCIO,Gabriel Campos,otaviomartins@goncalves.br,11 0224-3882,51 0758 8091,0900-351-7167,16,CONTAGEM
Sabrina Rodrigues,047.915.632-80,09/09/2003,oda-cruz@yahoo.com.br,+55 (071) 8272-5652,(084) 8706-0225,"Campo Duarte, Anchieta, 98110-372 Almeida da Prata / AL",56630-845,Ribeiro,PI,509,Marilandia,Senador,PROFISSIONAL AUTÔNOMO,CLT,SERVIÇOS,Dra. Alexia da Luz,gporto@campos.org,84 6605 4011,+55 (021) 1933-8130,71 9907-5085,16,CONTAGEM
Stella Gomes,126.759.438-19,15/03/1981,camposcalebe@bol.com.br,81 2085 6819,+55 (071) 3972 9557,"Via Alexia Lopes, 680, Vila Jardim Montanhes, 58049938 Cavalcanti / MG",48335429,Alves,AL,309,Conjunto Capitão Eduardo,Crítico,PROFISSIONAL AUTÔNOMO,AUTÔNOMO,INDÚSTRIA,Ana Lívia da Paz,otavio18@martins.com,+55 (084) 8084-7543,84 0121 9460,+55 (031) 5343 6897,17,BETIM
Augusto Nogueira,674.089.352-74,23/12/1967,barrosalicia@hotmail.com,(051) 5646 8760,+55 (051) 4899-5844,"Avenida de Silveira, 3, Ermelinda, 32477-609 da Mota / PE",37481-184,Lopes,SP,692,Campo Alegre,Lavador,EMPRESÁRIO,CLT,COMÉRCIO,Lavínia Pereira,nicolas12@fogaca.net,(051) 8605 7610,(021) 0322-4567,21 9331 7053,17,BETIM
Maria Luiza da Mota,287.413.569-00,22/03/1981,luiz-miguelgoncalves@uol.com.br,+55 11 4342 7159,(051) 0278-0518,"Favela de Carvalho, 12, Granja De Freitas, 14327694 Castro / PA",70364476,Novaes,PB,573,Diamante,Jogador de golfe,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,COMÉRCIO,Mariana Santos,stephany28@cunha.com,+55 (081) 9534 1330,+55 71 8154-0706,+55 21 1656 3680,17,BETIM
Letícia Lopes,347.098.621-50,18/09/1976,enzocastro@hotmail.com,+55 (071) 4071-8590,+55 81 0951 7147,"Feira Bryan Pires, 34, Nova Vista, 37519845 Melo / AL",04036-771,Barbosa,BA,702,Nossa Senhora Aparecida,Bancário,EMPRESÁRIO,CLT,INDÚSTRIA,Thales da Costa,rochabenicio@pires.net,21 3332-2078,61 3679 2600,+55 71 0647 8662,18,CONGONHAS
Miguel das Neves,740.318.926-40,27/03/1973,mgoncalves@hotmail.com,+55 61 2966-6394,+55 21 4655-6901,"Ladeira de da Luz, 6, Vila Paris, 05471-757 Nascimento de Moreira / ES",95936451,da Luz,SP,990,Vila Da Luz,Chefe de cozinha,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,SERVIÇOS,Isaac Cardoso,thiago84@costa.br,84 4571-1466,(051) 9027-3991,+55 (031) 1027 5115,18,CONGONHAS
Luana Moura,208.956.743-00,28/09/1992,pietro87@hotmail.com,+55 81 0092-9719,(081) 7496-5728,"Vale da Mata, Centro, 10797913 Jesus de Sales / SC",76135-264,Almeida,AM,311,Alto Barroca,Técnico tributarista,EMPRESÁRIO,SERVIDOR PÚBLICO,COMÉRCIO,Miguel Nunes,eferreira@monteiro.br,(021) 0046-4379,(061) 6456-2619,0300 233 9430,18,CONGONHAS
Vitor Gabriel Nunes,657.342.819-64,04/11/1964,duartehelena@moreira.com,+55 21 3713 7263,(021) 0566-4794,"Vereda Caldeira, 49, Ventosa, 61846835 Duarte / PE",35451997,Lima,AC,114,Novo Santa Cecilia,Cancerologista ou Oncologista,PROFISSIONAL AUTÔNOMO,SERVIDOR PÚBLICO,SERVIÇOS,Clara Azevedo,waraujo@azevedo.com,+55 (041) 3282 0898,+55 11 3359 7693,+55 (031) 6688-5300,21,SABARÁ
Luiz Miguel Rodrigues,589.417.032-04,23/07/1963,isouza@ig.com.br,0300 147 1178,+55 (071) 3081 9168,"Chácara Sales, 49, Ribeiro De Abreu, 69883992 Silva / RS",66683092,da Cruz,MG,603,Vila Ipiranga,Lapidário,ASSALARIADO,CLT,SERVIÇOS,Milena Teixeira,kcardoso@nunes.com,(081) 8483 6249,+55 (021) 3789-5561,51 6391 7444,21,SABARÁ
Luana Cunha,589.041.276-02,10/05/2001,limarafaela@dias.br,+55 71 7393-1342,(084) 6235-2439,"Distrito de Ramos, Pantanal, 03839-276 Nogueira / PI",42809782,Freitas,PE,166,Leonina,Perfumista,ASSALARIADO,SERVIDOR PÚBLICO,SERVIÇOS,Francisco Araújo,gabrielfogaca@fogaca.com,(041) 0001-2508,84 4784 5374,41 0968-6147,21,SABARÁ
